title,rating,ranking,director,actors,country,language,date_sortie,production,synopsis
Il faut sauver le soldat Ryan,"8,6",23.0,Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore']",États-Unis,Anglais,30 septembre 1998 (France),"Lieux de tournage
Curracloe Beach, Ballinesker, County Wexford, Irlande","À la suite du débarquement en Normandie, un groupe de soldats américains passe derrière les lignes ennemies pour récupérer un parachutiste dont les frères ont été tués au combat."
La Cité de Dieu,"8,6",24.0,Fernando Meirelles,"['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele']",Brésil,Official Facebook,12 mars 2003 (France),"Rio de Janeiro, Rio de Janeiro, Brésil","Dans les bidonvilles de Rio, les chemins de deux enfants divergent à mesure que l'un tente de devenir photographe et l'autre un baron de la drogue."
La vie est belle,"8,6",25.0,Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']",Italie,Italien,21 octobre 1998 (France),"Arezzo, Tuscany, Italie","Lorsqu'un bibliothécaire juif ouvert d'esprit et son fils sont victimes de l'Holocauste, il utilise un mélange parfait de volonté, d'humour et d'imagination pour protéger son fils des dangers qui les entourent."
La ligne verte,"8,6",26.0,Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']",États-Unis,Anglais,1 mars 2000 (France),"Sociétés de production
Castle Rock EntertainmentDarkwoods ProductionsWarner Bros.","La vie des gardes du couloir de la mort est touchée par l'un de leurs détenus: a homme noir accusé de meurtre et de viol d'enfants, doté d'un pouvoir mystérieux."
La guerre des étoiles,"8,6",27.0,George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",États-Unis,Anglais,19 octobre 1977 (France),Lucasfilm,"Luke Skywalker se joint à un chevalier Jedi, un pilote arrogant, un Wookiee et à deux droïdes pour sauver la galaxie de l'Empire, tout en essayant de sauver la princesse Léia du maléfique Dark Vador."
Interstellar,"8,7",28.0,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']",États-Unis,Official site,5 novembre 2014 (France),Islande,"Dans un monde post-apocalyptique et en famine, une équipe d'explorateurs cherche une nouvelle planète habitable pour l'espèce humaine."
Terminator 2 : Le jugement dernier,"8,6",29.0,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']",États-Unis,Anglais,16 octobre 1991 (France),"Sociétés de production
Carolco PicturesPacific WesternLightstorm Entertainment","Un cyborg, identique à celui qui n'a pas réussi à tuer Sarah Connor, doit maintenant protéger son fils adolescent d'un cyborg plus avancé et plus puissant."
Retour vers le futur,"8,6",30.0,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']",États-Unis,Anglais,30 octobre 1985 (France),Universal Pictures,"Marty McFly, un lycéen de 17 ans, est accidentellement envoyé trente ans plus tôt avec une voiture DeLorean qui voyage dans le temps, inventé par son ami le scientifique non-conformiste Doc Brown."
Le voyage de Chihiro,"8,6",31.0,Hayao Miyazaki,"['Daveigh Chase(English version)', 'Suzanne Pleshette(English version)', 'Miyu Irino(voix)']",Japon,Japonais,10 avril 2002 (France),Studio Ghibli,"Lorsque sa famille déménage en banlieue, une fillette de dix ans renfrognée découvre un monde régi par des dieux, des sorcières et des esprits où les humains sont transformés en animaux."
Psychose,"8,5",32.0,Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",États-Unis,"Aussi connu sous le nom de
Psycho",2 novembre 1960 (France),Voir plus de crédits d'entreprise sur IMDbPro,"Lorsqu'une secrétaire de Phoenix détourne 40 000 dollars du client de son employeur, elle part en cavale et arrive dans un motel isolé dont le gérant est un jeune homme sous la domination de sa mère."
Léon,"8,6",33.0,Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman']",France,Français,14 septembre 1994 (France),Gaumont,"Matilda, une fillette de 12 ans, est prise à contrecoeur sous l'aile de Léon, un assassin professionnel, après le meurtre de sa famille. Léon et Matilda forment une relation peu habituelle, elle devient sa protégée et apprend le métier d'assassin."
Le pianiste,"8,6",34.0,Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']",France,Focus Features (United States),25 septembre 2002 (France),"Aussi connu sous le nom de
The Pianist",Un musicien juif polonais lutte pour survivre à la destruction du ghetto de Varsovie pendant la Seconde Guerre mondiale.
Parasite,"8,5",35.0,Bong Joon Ho,"['Kang-ho Song', 'Sun-kyun Lee', 'Yeo-jeong Cho']",Corée du Sud,Coréen,5 juin 2019 (France),"Sociétés de production
CJ EntertainmentBarunson E&A","Toute la famille de Ki-taek est au chômage, et s'intéresse fortement au train de vie de la richissime famille Park, jusqu'à ce qu'ils soient impliqués dans un incident inattendu."
Le Roi Lion,"8,5",36.0,Roger Allers,"['Matthew Broderick(voix)', 'Jeremy Irons(voix)', 'James Earl Jones(voix)']",États-Unis,Anglais,9 novembre 1994 (France),"Lieux de tournage
Walt Disney Studios Motion Pictures - 500 S. Buena Vista Street, Burbank, Californie, États-Unis","Un lionceau prince héritier est convaincu par son oncle perfide qu'il a causé la mort de son père. Désespéré, il s'enfuit en exil pour apprendre seulement à l'âge adulte son identité et ses responsabilités."
Gladiator,"8,5",37.0,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']",États-Unis,Official Facebook,20 juin 2000 (France),Malte,Un ancien général romain cherche à se venger de l'empereur corrompu qui a assassiné sa famille et condamné à l'esclavage.
American History X,"8,5",38.0,Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]",États-Unis,Anglais,3 mars 1999 (France),New Line Cinema,Un ancien skinhead néo-nazi tente d'empêcher son jeune frère de suivre la même mauvaise voie que lui.
Usual Suspects,"8,5",39.0,Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']",États-Unis,Anglais,19 juillet 1995 (France),"Lieux de tournage
San Pedro, Los Angeles, Californie, États-Unis","L'unique survivant d'un horrible combat d'armes à feu raconte les évènements sinistres, qui débutèrent lorsque cinq criminels furent rassemblés par la police pour une session d'identification à priori aléatoire."
Les infiltrés,"8,5",40.0,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']",États-Unis,Anglais,29 novembre 2006 (France),"Sociétés de production
Warner Bros.Plan B EntertainmentInitial Entertainment Group (IEG)",Un policier en civil et un espion dans la police tentent de s'identifier en infiltrant un gang irlandais à South Boston.
Spider-Man: No Way Home,"8,7",41.0,Jon Watts,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']",États-Unis,"Aussi connu sous le nom de
Serenity Now",15 décembre 2021 (France),Pascal Pictures,"L'identité de Spider-Man étant désormais révélée, Peter demande de l'aide au docteur Strange. Lorsqu'un sort tourne mal, des ennemis commencent à apparaître, forçant Peter à découvrir ce que signifie vraiment être Spider-Man."
Le Prestige,"8,5",42.0,Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson']",États-Unis,The Prestige,15 novembre 2006 (France),Newmarket Films,"Après un tragique accident, deux magiciens se lancent dans un combat pour créer l'illusion ultime en sacrifiant tout ce qu'ils ont pour déjouer les tours de l'autre."
Casablanca,"8,5",43.0,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid']",États-Unis,Français,23 mai 1947 (France),"Hotel Monte Vista, Flagstaff, Arizona, États-Unis",Un propriétaire de boîte de nuit et cynique doit protéger une ancienne flamme et son mari des nazis au Maroc.
Whiplash,"8,5",44.0,Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",États-Unis,Anglais,24 décembre 2014 (France),Bold Films,Un jeune batteur prometteur s'inscrit dans un conservatoire de musique renommé où ses rêves de grandeur sont encadrés par un professeur qui ne recule devant rien pour réaliser le potentiel de ses étudiants.
Intouchables,"8,5",45.0,Olivier Nakache,"['François Cluzet', 'Omar Sy', 'Anne Le Ny']",France,Anglais,2 novembre 2011 (France),Quad,"Après être devenu tétraplégique à la suite d'un accident de parapente, un aristocrate engage un jeune homme des cités en tant qu'aide-soignant."
Whiplash,"8,5",44.0,Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",États-Unis,Anglais,24 décembre 2014 (France),Bold Films,Un jeune batteur prometteur s'inscrit dans un conservatoire de musique renommé où ses rêves de grandeur sont encadrés par un professeur qui ne recule devant rien pour réaliser le potentiel de ses étudiants.
Intouchables,"8,5",45.0,Olivier Nakache,"['François Cluzet', 'Omar Sy', 'Anne Le Ny']",France,Anglais,2 novembre 2011 (France),Quad,"Après être devenu tétraplégique à la suite d'un accident de parapente, un aristocrate engage un jeune homme des cités en tant qu'aide-soignant."
Il était une fois dans l'Ouest,"8,5",47.0,Sergio Leone,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale']",Italie,Espagnol,27 août 1969 (France),Rafran Cinematografica,Un mystérieux inconnu possédant un harmonica s'associe à un desperado notoire pour protéger une jolie veuve d'un assassin sans scrupule travaillant pour le chemin de fer.
Le tombeau des lucioles,"8,5",49.0,Isao Takahata,"['Tsutomu Tatsumi(voix)', 'Ayano Shiraishi(voix)', 'Akemi Yamaguchi(voix)']",Japon,"Sociétés de production
Shinchosha CompanyStudio Ghibli",19 juin 1996 (France),,Un jeune garçon et sa petite soeur luttent pour survivre au Japon pendant la Seconde Guerre mondiale.
Alien - Le 8ème passager,"8,5",50.0,Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']",Royaume-Uni,"Langue
Anglais",12 septembre 1979 (France),"Société de production
Brandywine Productions","Un vaisseau spatial perçoit une transmission non-identifiée comme un signal de détresse. Lors de son atterrissage, l'un des membres de l'équipage est attaqué par une mystérieuse forme de vie, ils réalisent rapidement que son cycle de vie vient seulement de commencer."
Fenêtre sur cour,"8,5",51.0,Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey']",États-Unis,"Lieux de tournage
Stage 18, Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, Californie, États-Unis",14 septembre 1955 (France),,Un photographe en fauteuil roulant épie ses voisins depuis la fenêtre de son appartement et finit par être convaincu que l'un d'entre eux a commis un meurtre.
Memento,"8,5",53.0,Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",États-Unis,Anglais,11 octobre 2000 (France),Newmarket Capital Group,Un homme souffrant de perte de la mémoire à court terme tente de retrouver l'assassin de sa femme.
Apocalypse Now,"8,5",54.0,Francis Ford Coppola,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall']",États-Unis,Anglais,26 septembre 1979 (France),"Baler Bay, Baler, Aurora, Philippines","Pendant la guerre du Vietnam, le capitaine Willard est envoyé en mission au Cambodge pour assassiner un colonel rebelle qui s'est déclaré Dieu parmi une tribu locale."
Cinéma Paradiso,"8,5",55.0,Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili']",Italie,"Langue
Italien",20 septembre 1989 (France),"Sociétés de production
CristaldifilmLes Films ArianeRai 3","Un cinéaste se souvient de son enfance : son immense amour pour les images au cinéma de son village natal, et sa profonde amitié avec le projectionniste."
Les Aventuriers de l'arche perdue,"8,4",56.0,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman']",États-Unis,Allemand,16 septembre 1981 (France),Indiana Jones et les Aventuriers de l'arche perdue,"En 1936, l 'archéologue et aventurier Indiana Jones est engagé par le gouvernement américain pour trouver l'arche de l'alliance avant que les nazis d'Adolf Hitler ne puissent obtenir ses pouvoirs extraordinaires."
Django Unchained,"8,5",57.0,Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",États-Unis,Allemand,16 janvier 2013 (France),"Evergreen Plantation, 4677 Highway 18, Edgard, Louisiane, États-Unis","Avec l'aide d'un chasseur de primes allemand, un esclave affranchi tente de sauver sa femme du violent propriétaire d'une plantation du Mississippi."
WALL·E,"8,4",58.0,Andrew Stanton,"['Ben Burtt(voix)', 'Elissa Knight(voix)', 'Jeff Garlin(voix)']",États-Unis,Anglais,30 juillet 2008 (France),"Sociétés de production
FortyFour StudiosPixar Animation StudiosWalt Disney Pictures","Dans un avenir lointain, un petit robot collecteur de déchets entreprendra par inadvertance un voyage dans l'espace qui décidera en fin de compte du sort de l'humanité."
Boulevard du Crépuscule,"8,4",60.0,Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim']",États-Unis,"Lieux de tournage
10060 Sunset Blvd, Los Angeles, Californie, États-Unis",20 avril 1951 (France),,Un scénariste est engagé pour retravailler le texte d'une ancienne vedette du cinéma muet qui espère un retour triomphant avec ce rôle. De cette collaboration naquit une dangereuse relation amoureuse.
Shining,"8,4",61.0,Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']",Royaume-Uni,Anglais,16 octobre 1980 (France),Warner Bros.,"Une famille se rend dans un hôtel isolé pour l'hiver, où une présence spirituelle et maléfique incite le père à la violence, tandis que son fils télépathe fait l'expérience d'horribles visions du passé et du futur."
Les sentiers de la gloire,"8,4",62.0,Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou']",États-Unis,"Aussi connu sous le nom de
Paths of Glory",26 mars 1975 (France),Voir plus de crédits d'entreprise sur IMDbPro,"Après avoir refusé d'attaquer où l'ennemi était ammassée, un général accuse les soldats de lâcheté et leur officier commandant doit leur défendre."
Le Dictateur,"8,4",63.0,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie']",États-Unis,Anglais,4 avril 1945 (France),"Santa Monica Mountains, Los Angeles, Californie, États-Unis","Dans le ghetto juif vit un petit barbier qui ressemble énormément à Adenoid Hynkel, le dictateur de Tomania qui a décidé l'extermination du peuple juif. Au cours d'une rafle, le barbier est arrêté en compagnie de Schultz, un farouche adversaire d'Hynkel..."
Avengers: Infinity War,"8,5",64.0,Anthony Russo,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",États-Unis,Anglais,25 avril 2018 (France),Marvel Studios,Les Avengers et leurs alliés devront être prêts à tout sacrifier pour tenter de vaincre le redoutable Thanos avant que son attaque éclair ne conduise à la destruction complète de l'univers.
Témoin à charge,"8,4",65.0,Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']",États-Unis,Witness for the Prosecution,19 février 1958 (France),,Un avocat britannique chevronné doit défendre son client dans un procès pour meurtre qui ne cesse de surprendre.
Aliens : Le Retour,"8,4",66.0,James Cameron,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']",Royaume-Uni,"Langue
Anglais",8 octobre 1986 (France),"Sociétés de production
Twentieth Century FoxBrandywine ProductionsPinewood Studios","Ellen Ripley est sauvée par une équipe de sauvetage en profondeur après 57 ans de sommeil extrême. La lune visitée par le Nostromo a été colonisée, mais tout contact a été perdu. Cette fois, les marines coloniales ont une force de frappe impressionnante, mais cela suffira-t-il?"
American Beauty,"8,4",67.0,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",États-Unis,"Aussi connu sous le nom de
Vẻ Đẹp Mỹ",2 février 2000 (France),Jinks/Cohen Company,Un père de banlieue sexuellement frustré entre en pleine crise de la quarantaine après s'être épris de la meilleure amie de sa fille.
The Dark Knight Rises,"8,4",68.0,Christopher Nolan,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway']",États-Unis,"Langues
AnglaisArabe",25 juillet 2012 (France),"Mehrangarh Fort, Jodhpur, Rajasthan, Inde","Huit ans après que Batman ait pris le blâme pour Harvey Dent, un nouveau terroriste dangereux, appelé Bane, fait son apparition. Le chevalier noir est forcé de reprendre son rôle de justicier."
Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,"8,4",69.0,Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']",Royaume-Uni,Anglais,10 avril 1964 (France),"Société de production
Stanley Kubrick Productions",Un général insensé ouvre la voie à l'holocauste nucléaire qu'une salle de guerre remplie d'hommes politiques et de généraux tentent désespérément de s'arrêter.
Joker,"8,4",70.0,Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']",États-Unis,"Langue
Anglais",9 octobre 2019 (France),"Sociétés de production
Warner Bros.Village Roadshow PicturesVillage Roadshow Pictures","Arthur Fleck, un comédien affligé par des troubles mentaux, se voit mis de côté par la société. S'amorce ensuite une descente aux enfers emplie de révoltes et de crime violents ce qui le confrontera à son alter ego, Le Joker."
Spider-Man: New Generation,"8,4",71.0,Bob Persichetti,"['Shameik Moore(voix)', 'Jake Johnson(voix)', 'Hailee Steinfeld(voix)']",États-Unis,Espagnol,12 décembre 2018 (France),Sony Pictures Entertainment (SPE),Spider-Man traverse des dimensions parallèles et fait équipe avec les Spider-Man de ces dimensions pour mettre fin à une menace pour toute l'humanité.
The Batman,"8,5",72.0,Matt Reeves,"['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']",États-Unis,Anglais,2 mars 2022 (France),Warner Bros.,"Lorsque le Riddler, un tueur en série maniaque, commence à assassiner des personnalités politiques clés à Gotham, Batman est obligé d'enquêter sur la corruption cachée de la ville et de remettre en question l'implication de sa famille."
Old Boy,"8,4",73.0,Park Chan-wook,"['Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong']",Corée du Sud,"Aussi connu sous le nom de
Oldboy",29 septembre 2004 (France),Egg Films,"Après avoir été enlevé et emprisonné pendant quinze ans, Oh Dae-Su est relâché, seulement pour découvrir qu'il doit trouver son ravisseur en cinq jours."
Braveheart,"8,4",74.0,Mel Gibson,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']",États-Unis,Anglais,4 octobre 1995 (France),Trái Tim Dũng Cảm,"Lorsque sa fiancée secrète est exécutée pour avoir agressé un soldat anglais ayant tenté de la violer, Sire William Wallace commence une révolte contre le roi Édouard Ier d'Angleterre."
Toy Story,"8,3",75.0,John Lasseter,"['Tom Hanks(voix)', 'Tim Allen(voix)', 'Don Rickles(voix)']",États-Unis,Anglais,27 mars 1996 (France),Voir plus de crédits d'entreprise sur IMDbPro,"Dans la chambre d'un petit garçon, un cowboy jaloux se sent profondément menacé quand le nouvel astronaute prend sa place de jouet favori."
Amadeus,"8,4",76.0,Milos Forman,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']",États-Unis,Anglais,31 octobre 1984 (France),"Lieux de tournage
Barrandov Studios, Prague, République tchèque","La vie, les triomphes et les tourments de Wolfgang Amadeus Mozart, selon le point de vue du compositeur Antonio Salieri, contemporain de Mozart dont il était extrêmement jaloux et qu'il prétendit avoir assassiné."
Coco,"8,4",77.0,Lee Unkrich,"['Anthony Gonzalez(voix)', 'Gael García Bernal(voix)', 'Benjamin Bratt(voix)']",États-Unis,Anglais,29 novembre 2017 (France),"Sociétés de production
Walt Disney PicturesPixar Animation Studios","Miguel, musicien en herbe, entre au pays des morts pour retrouver son arrière-arrière-grand-père, un chanteur légendaire alors qu'il a interdiction de jouer de la musique."
Inglourious Basterds,"8,3",78.0,Quentin Tarantino,"['Brad Pitt', 'Diane Kruger', 'Eli Roth']",Allemagne,"Langues
AnglaisAllemandFrançaisItalien",19 août 2009 (France),Inglorious Bastards,"Dans la France occupée de la Seconde Guerre mondiale, un projet d'assassinat de dirigeants nazis par un groupe de soldats juifs américains coïncide avec les plans de vengeance de la propriétaire d'un cinéma."
